 312: x:0.1870, y:-0.8014, t:-0.4122
 313: x:0.9193, y:-0.8046, t:-0.2877
 314: x:-1.2583, y:0.9372, t:0.9891
 315: x:0.1059, y:2.7706, t:0.9496
 316: x:-1.2617, y:1.1946, t:0.9892
 317: x:-0.5609, y:-0.7831, t:0.2483
 318: x:-1.2624, y:0.2061, t:0.7797
 319: x:1.2664, y:0.1225, t:0.3952
 320: x:-1.2465, y:2.2980, t:-0.6718
 321: x:-1.2619, y:1.8832, t:-0.6551
 322: x:-1.2512, y:0.3356, t:0.9313
 323: x:-1.2554, y:2.2004, t:-0.7047
 324: x:-1.2457, y:0.6873, t:0.6499
 325: x:-1.3035, y:2.3949, t:-0.7282
 326: x:-1.2607, y:-0.1943, t:0.8111
 327: x:-1.2975, y:0.5697, t:0.7208
 328: x:-1.2804, y:0.5634, t:0.7461
 329: x:-1.2420, y:0.8236, t:0.9523
 330: x:-0.4407, y:2.7470, t:0.9655
 331: x:-1.2650, y:0.9869, t:0.9775
 332: x:1.2523, y:0.1339, t:0.4579
 333: x:-1.2748, y:0.6767, t:0.9794
 334: x:-0.4300, y:2.7650, t:0.9882
 335: x:-1.3065, y:0.6697, t:0.9858
 336: x:-1.2406, y:1.1792, t:0.8248
 337: x:-1.2542, y:0.7022, t:0.9994
 338: x:-1.2476, y:1.0909, t:1.0000
 339: x:-0.5902, y:2.8026, t:0.9009
 340: x:1.2505, y:1.2798, t:0.9500
 341: x:1.2938, y:0.9390, t:0.3414
 342: x:1.2641, y:2.1444, t:0.4527
 343: x:1.2632, y:2.1793, t:0.5293
 344: x:-1.2471, y:-0.0114, t:0.3869
 345: x:1.0237, y:-0.7818, t:-0.1266
 346: x:1.3114, y:1.2044, t:0.3875
 347: x:-0.6208, y:2.8392, t:0.9215
 348: x:1.3005, y:1.7111, t:0.5559
 349: x:-0.5843, y:2.7780, t:0.3407
 350: x:0.3246, y:2.7443, t:0.7319
 351: x:-0.2555, y:2.7582, t:0.4876
 352: x:1.3057, y:1.5780, t:0.4171
 353: x:-1.2458, y:3.4569, t:0.5443
 354: x:1.2447, y:-0.8100, t:0.3495
 355: x:1.2624, y:0.1448, t:0.1936
 356: x:1.3142, y:1.5534, t:0.5340
 357: x:1.2706, y:1.5095, t:0.6925
 358: x:1.2423, y:0.5223, t:0.2841
 359: x:1.2554, y:0.8454, t:0.3468
 360: x:1.2852, y:0.2965, t:0.4575
 361: x:1.3145, y:0.9089, t:0.1885
 362: x:1.2900, y:0.4113, t:0.3288
 363: x:1.2662, y:0.9452, t:0.3595
 364: x:1.3087, y:0.6348, t:0.3150
 365: x:1.2697, y:0.9745, t:0.4221
